product_id,supplier_name,origin_location,destination,quantity,dispatch_date,expected_date,actual_date,carrier_type,status
PROD-26225,Kyoto Tech Components,Tokyo Port,Bengaluru Hub,4937,1/30/2026 14:45,2/14/2026 14:45,2/21/2026 14:45,Air Cargo,Delayed
PROD-256787,Tokyo Logistics Co,Yokohama Port,Chennai Port,1905,3/8/2026 21:57,3/13/2026 21:57,3/19/2026 21:57,Air Cargo,Delayed
PROD-772246,Kyoto Tech Components,Nagoya Airport,Chennai Port,2376,8/31/2025 14:18,9/14/2025 14:18,9/14/2025 14:18,Sea Freight,Delivered
PROD-776646,Nagoya Auto Parts,Tokyo Port,Chennai Port,2917,7/18/2025 12:09,7/26/2025 12:09,7/25/2025 12:09,Express Road,Delivered
PROD-91161,Tokyo Logistics Co,Nagoya Airport,Bengaluru Hub,4622,5/2/2026 22:20,5/11/2026 22:20,5/9/2026 22:20,Air Cargo,Delivered
PROD-33326,Tokyo Logistics Co,Tokyo Port,Bengaluru Hub,2470,1/12/2026 17:49,1/27/2026 17:49,1/26/2026 17:49,Sea Freight,Delivered
PROD-229258,Osaka Freight Corp,Yokohama Port,Chennai Port,3010,6/21/2025 22:53,6/29/2025 22:53,6/28/2025 22:53,Sea Freight,Delivered
PROD-631262,Kyoto Tech Components,Yokohama Port,Bengaluru Hub,3886,9/4/2025 1:09,9/19/2025 1:09,9/17/2025 1:09,Air Cargo,Delivered
PROD-208496,Kyoto Tech Components,Osaka Port,Bengaluru Hub,1976,6/20/2025 18:18,6/29/2025 18:18,6/27/2025 18:18,Sea Freight,Delivered
PROD-735392,Osaka Freight Corp,Yokohama Port,Chennai Port,3341,2/27/2026 14:09,3/9/2026 14:09,3/9/2026 14:09,Express Road,Delivered
PROD-231148,Osaka Freight Corp,Nagoya Airport,Chennai Port,3065,12/27/2025 2:31,1/8/2026 2:31,1/13/2026 2:31,Sea Freight,Delayed
PROD-291704,Tokyo Logistics Co,Yokohama Port,Bengaluru Hub,3558,11/22/2025 3:21,11/29/2025 3:21,11/29/2025 3:21,Express Road,Delivered
PROD-6814,Osaka Freight Corp,Tokyo Port,Bengaluru Hub,4498,4/2/2026 16:58,4/8/2026 16:58,4/6/2026 16:58,Air Cargo,Delivered
PROD-167414,Nagoya Auto Parts,Tokyo Port,Chennai Port,4200,3/15/2026 5:13,3/30/2026 5:13,3/29/2026 5:13,Sea Freight,Delivered
PROD-356778,Kyoto Tech Components,Yokohama Port,Chennai Port,1423,2/21/2026 1:25,3/6/2026 1:25,3/4/2026 1:25,Express Road,Delivered
PROD-225772,Tokyo Logistics Co,Tokyo Port,Chennai Port,2619,9/20/2025 13:27,10/3/2025 13:27,10/1/2025 13:27,Sea Freight,Delivered
PROD-352944,Tokyo Logistics Co,Nagoya Airport,Bengaluru Hub,4463,5/26/2026 16:24,5/31/2026 16:24,5/29/2026 16:24,Sea Freight,Delivered
PROD-398382,Nagoya Auto Parts,Yokohama Port,Bengaluru Hub,2653,7/18/2025 9:39,7/25/2025 9:39,7/23/2025 9:39,Air Cargo,Delivered
PROD-888662,Nagoya Auto Parts,Tokyo Port,Bengaluru Hub,1940,7/16/2025 9:29,7/31/2025 9:29,7/30/2025 9:29,Sea Freight,Delivered
PROD-277370,Tokyo Logistics Co,Tokyo Port,Bengaluru Hub,1975,10/14/2025 16:44,10/24/2025 16:44,10/30/2025 16:44,Sea Freight,Delayed
PROD-765179,Osaka Freight Corp,Nagoya Airport,Bengaluru Hub,4517,4/1/2026 20:47,4/6/2026 20:47,4/6/2026 20:47,Sea Freight,Delivered
PROD-130889,Nagoya Auto Parts,Yokohama Port,Bengaluru Hub,894,11/25/2025 20:54,12/9/2025 20:54,12/9/2025 20:54,Express Road,Delivered
PROD-396922,Tokyo Logistics Co,Tokyo Port,Bengaluru Hub,3398,6/1/2026 11:48,6/12/2026 11:48,6/11/2026 11:48,Express Road,Delivered
PROD-307419,Kyoto Tech Components,Nagoya Airport,Bengaluru Hub,3556,7/9/2025 20:26,7/19/2025 20:26,7/19/2025 20:26,Sea Freight,Delivered
