product_id,supplier_name,origin_location,destination,quantity,dispatch_date,expected_date,actual_date,carrier_type,status,planned_transit_days,actual_transit_days,delay_days,is_delayed_target
PROD-26225,Kyoto Tech Components,Tokyo Port,Bengaluru Hub,4937,1/30/2026 16:39,2/14/2026 16:39,2/21/2026 16:39,Air Cargo,Delayed,15,22,7,1
PROD-256787,Tokyo Logistics Co,Yokohama Port,Chennai Port,1905,3/8/2026 23:50,3/13/2026 23:50,3/19/2026 23:50,Air Cargo,Delayed,5,11,6,1
PROD-772246,Kyoto Tech Components,Nagoya Airport,Chennai Port,2376,8/31/2025 16:12,9/14/2025 16:12,9/14/2025 16:12,Sea Freight,Delivered,14,14,0,0
PROD-776646,Nagoya Auto Parts,Tokyo Port,Chennai Port,2917,7/18/2025 14:02,7/26/2025 14:02,7/25/2025 14:02,Express Road,Delivered,8,7,-1,0
PROD-91161,Tokyo Logistics Co,Nagoya Airport,Bengaluru Hub,4622,5/3/2026 0:13,5/12/2026 0:13,5/10/2026 0:13,Air Cargo,Delivered,9,7,-2,0
PROD-33326,Tokyo Logistics Co,Tokyo Port,Bengaluru Hub,2470,1/12/2026 19:42,1/27/2026 19:42,1/26/2026 19:42,Sea Freight,Delivered,15,14,-1,0
PROD-229258,Osaka Freight Corp,Yokohama Port,Chennai Port,3010,6/22/2025 0:47,6/30/2025 0:47,6/29/2025 0:47,Sea Freight,Delivered,8,7,-1,0
PROD-631262,Kyoto Tech Components,Yokohama Port,Bengaluru Hub,3886,9/4/2025 3:02,9/19/2025 3:02,9/17/2025 3:02,Air Cargo,Delivered,15,13,-2,0
PROD-208496,Kyoto Tech Components,Osaka Port,Bengaluru Hub,1976,6/20/2025 20:11,6/29/2025 20:11,6/27/2025 20:11,Sea Freight,Delivered,9,7,-2,0
PROD-735392,Osaka Freight Corp,Yokohama Port,Chennai Port,3341,2/27/2026 16:02,3/9/2026 16:02,3/9/2026 16:02,Express Road,Delivered,10,10,0,0
PROD-231148,Osaka Freight Corp,Nagoya Airport,Chennai Port,3065,12/27/2025 4:24,1/8/2026 4:24,1/13/2026 4:24,Sea Freight,Delayed,12,17,5,1
PROD-291704,Tokyo Logistics Co,Yokohama Port,Bengaluru Hub,3558,11/22/2025 5:14,11/29/2025 5:14,11/29/2025 5:14,Express Road,Delivered,7,7,0,0
PROD-6814,Osaka Freight Corp,Tokyo Port,Bengaluru Hub,4498,4/2/2026 18:51,4/8/2026 18:51,4/6/2026 18:51,Air Cargo,Delivered,6,4,-2,0
PROD-167414,Nagoya Auto Parts,Tokyo Port,Chennai Port,4200,3/15/2026 7:06,3/30/2026 7:06,3/29/2026 7:06,Sea Freight,Delivered,15,14,-1,0
PROD-356778,Kyoto Tech Components,Yokohama Port,Chennai Port,1423,2/21/2026 3:18,3/6/2026 3:18,3/4/2026 3:18,Express Road,Delivered,13,11,-2,0
PROD-225772,Tokyo Logistics Co,Tokyo Port,Chennai Port,2619,9/20/2025 15:20,10/3/2025 15:20,10/1/2025 15:20,Sea Freight,Delivered,13,11,-2,0
PROD-352944,Tokyo Logistics Co,Nagoya Airport,Bengaluru Hub,4463,5/26/2026 18:17,5/31/2026 18:17,5/29/2026 18:17,Sea Freight,Delivered,5,3,-2,0
PROD-398382,Nagoya Auto Parts,Yokohama Port,Bengaluru Hub,2653,7/18/2025 11:32,7/25/2025 11:32,7/23/2025 11:32,Air Cargo,Delivered,7,5,-2,0
PROD-888662,Nagoya Auto Parts,Tokyo Port,Bengaluru Hub,1940,7/16/2025 11:22,7/31/2025 11:22,7/30/2025 11:22,Sea Freight,Delivered,15,14,-1,0
PROD-277370,Tokyo Logistics Co,Tokyo Port,Bengaluru Hub,1975,10/14/2025 18:37,10/24/2025 18:37,10/30/2025 18:37,Sea Freight,Delayed,10,16,6,1
PROD-765179,Osaka Freight Corp,Nagoya Airport,Bengaluru Hub,4517,4/1/2026 22:40,4/6/2026 22:40,4/6/2026 22:40,Sea Freight,Delivered,5,5,0,0
PROD-130889,Nagoya Auto Parts,Yokohama Port,Bengaluru Hub,894,11/25/2025 22:47,12/9/2025 22:47,12/9/2025 22:47,Express Road,Delivered,14,14,0,0
PROD-396922,Tokyo Logistics Co,Tokyo Port,Bengaluru Hub,3398,6/1/2026 13:41,6/12/2026 13:41,6/11/2026 13:41,Express Road,Delivered,11,10,-1,0
PROD-307419,Kyoto Tech Components,Nagoya Airport,Bengaluru Hub,3556,7/9/2025 22:19,7/19/2025 22:19,7/19/2025 22:19,Sea Freight,Delivered,10,10,0,0
PROD-648564,Tokyo Logistics Co,Tokyo Port,Bengaluru Hub,864,4/10/2026 1:57,4/19/2026 1:57,4/19/2026 1:57,Sea Freight,Delivered,9,9,0,0
PROD-379201,Nagoya Auto Parts,Tokyo Port,Bengaluru Hub,3204,4/30/2026 13:14,5/7/2026 13:14,5/6/2026 13:14,Sea Freight,Delivered,7,6,-1,0
PROD-738797,Nagoya Auto Parts,Yokohama Port,Bengaluru Hub,2530,1/8/2026 0:31,1/19/2026 0:31,1/18/2026 0:31,Sea Freight,Delivered,11,10,-1,0
PROD-693384,Osaka Freight Corp,Tokyo Port,Bengaluru Hub,4885,7/6/2025 13:17,7/11/2025 13:17,7/9/2025 13:17,Air Cargo,Delivered,5,3,-2,0
PROD-303445,Tokyo Logistics Co,Yokohama Port,Bengaluru Hub,4974,9/2/2025 9:17,9/15/2025 9:17,9/13/2025 9:17,Sea Freight,Delivered,13,11,-2,0
PROD-896865,Kyoto Tech Components,Tokyo Port,Bengaluru Hub,3534,6/5/2026 23:48,6/20/2026 23:48,6/19/2026 23:48,Express Road,Delivered,15,14,-1,0
PROD-105907,Kyoto Tech Components,Osaka Port,Bengaluru Hub,2275,9/4/2025 4:10,9/18/2025 4:10,9/17/2025 4:10,Air Cargo,Delivered,14,13,-1,0
PROD-475435,Tokyo Logistics Co,Tokyo Port,Chennai Port,4712,10/27/2025 23:41,11/3/2025 23:41,11/2/2025 23:41,Sea Freight,Delivered,7,6,-1,0
PROD-382554,Osaka Freight Corp,Tokyo Port,Bengaluru Hub,3127,1/29/2026 7:50,2/4/2026 7:50,2/2/2026 7:50,Air Cargo,Delivered,6,4,-2,0
PROD-372528,Tokyo Logistics Co,Osaka Port,Bengaluru Hub,1200,8/9/2025 13:22,8/16/2025 13:22,8/14/2025 13:22,Air Cargo,Delivered,7,5,-2,0
PROD-279946,Osaka Freight Corp,Osaka Port,Bengaluru Hub,2908,8/26/2025 16:04,9/1/2025 16:04,8/30/2025 16:04,Sea Freight,Delivered,6,4,-2,0
PROD-716751,Osaka Freight Corp,Tokyo Port,Bengaluru Hub,3569,2/22/2026 11:34,3/9/2026 11:34,3/8/2026 11:34,Air Cargo,Delivered,15,14,-1,0
PROD-638720,Osaka Freight Corp,Yokohama Port,Chennai Port,4619,2/2/2026 20:06,2/7/2026 20:06,2/12/2026 20:06,Express Road,Delayed,5,10,5,1
PROD-560086,Kyoto Tech Components,Tokyo Port,Chennai Port,4871,1/29/2026 1:39,2/9/2026 1:39,2/9/2026 1:39,Express Road,Delivered,11,11,0,0
PROD-171339,Tokyo Logistics Co,Osaka Port,Bengaluru Hub,2144,3/4/2026 10:56,3/11/2026 10:56,3/11/2026 10:56,Express Road,Delivered,7,7,0,0
PROD-283060,Nagoya Auto Parts,Yokohama Port,Bengaluru Hub,1431,11/26/2025 23:39,12/2/2025 23:39,11/30/2025 23:39,Sea Freight,Delivered,6,4,-2,0
PROD-671088,Nagoya Auto Parts,Yokohama Port,Chennai Port,1404,6/7/2026 13:30,6/18/2026 13:30,6/26/2026 13:30,Express Road,Delayed,11,19,8,1
PROD-230283,Kyoto Tech Components,Yokohama Port,Chennai Port,2964,2/17/2026 11:51,2/23/2026 11:51,2/23/2026 11:51,Air Cargo,Delivered,6,6,0,0
PROD-883794,Osaka Freight Corp,Osaka Port,Bengaluru Hub,2386,2/16/2026 4:45,2/24/2026 4:45,2/22/2026 4:45,Air Cargo,Delivered,8,6,-2,0
PROD-58655,Osaka Freight Corp,Tokyo Port,Bengaluru Hub,2239,3/18/2026 18:26,4/2/2026 18:26,3/31/2026 18:26,Sea Freight,Delivered,15,13,-2,0
PROD-33659,Nagoya Auto Parts,Osaka Port,Chennai Port,3674,9/2/2025 19:22,9/16/2025 19:22,,Express Road,In-Transit,14,-1,0,0
PROD-420651,Nagoya Auto Parts,Tokyo Port,Bengaluru Hub,3083,4/1/2026 4:25,4/14/2026 4:25,4/20/2026 4:25,Air Cargo,Delayed,13,19,6,1
PROD-221231,Tokyo Logistics Co,Osaka Port,Chennai Port,3445,9/16/2025 22:32,9/22/2025 22:32,9/21/2025 22:32,Air Cargo,Delivered,6,5,-1,0
PROD-594731,Nagoya Auto Parts,Nagoya Airport,Bengaluru Hub,4762,5/10/2026 15:55,5/21/2026 15:55,5/19/2026 15:55,Air Cargo,Delivered,11,9,-2,0
PROD-329963,Kyoto Tech Components,Nagoya Airport,Chennai Port,3909,4/27/2026 5:37,5/8/2026 5:37,5/8/2026 5:37,Air Cargo,Delivered,11,11,0,0
PROD-523481,Kyoto Tech Components,Tokyo Port,Chennai Port,4322,8/27/2025 19:25,9/8/2025 19:25,9/6/2025 19:25,Express Road,Delivered,12,10,-2,0
PROD-958972,Kyoto Tech Components,Osaka Port,Bengaluru Hub,1731,11/2/2025 15:36,11/17/2025 15:36,11/17/2025 15:36,Sea Freight,Delivered,15,15,0,0
PROD-149811,Tokyo Logistics Co,Nagoya Airport,Chennai Port,4815,1/31/2026 22:40,2/5/2026 22:40,2/15/2026 22:40,Sea Freight,Delayed,5,15,10,1
